id,form,alt_forms,gloss,origin,domain,connector_pref,examples,weight,root_lang,proto_root,ety_desc,ety_lineage,semantic_field,sources
root_fera,-fera,,Bearing.,translingue,morpheme,,,1.0,mul,,New Latin nominative neuter plural of -fer,translingue < NL.,morpheme,wiktionary:fr::-fera#suffix
root_ferae,-ferae,,Bearing,latin,"feminine,morpheme,plural",,,1.0,la,,Latin from nominative feminine plural of -fer (“bearing”),translingue < latin,"feminine,morpheme,plural",wiktionary:fr::-ferae#suffix
root_fimbri,fimbri-,,Used to form taxonomic names for taxa of organisms differentiated by having a structure resembling a fringe or a notable edge,latin,morpheme,,Fimbriaglomerella; Fimbriaphis; Fimbriapora; Fimbriaria; Fimbriasacculus; Fimbriatella; Fimbriatus; Fimbriceps,1.0,la,,"From Late Latin fimbria (“fringe, tassel”), from Latin fimbriae (“fibers”).",translingue < LL. < latin,morpheme,wiktionary:fr::fimbri-#prefix
root_cteno,cteno-,,Used to form taxonomic names: comb.,grec,morpheme,o,,1.0,grc,,"New Latin, from stem of Ancient Greek κτείς (kteís, “comb”)",translingue < NL. < grec,morpheme,wiktionary:fr::cteno-#prefix
root_myza,-myza,,"Used to form taxonomic names, especially of genera of insects with a sucking-type proboscis",grec,morpheme,,,1.0,grc,,"New Latin, from Ancient Greek μυζάω (muzáō, “I suck”))",translingue < NL. < grec,morpheme,wiktionary:fr::-myza#suffix
root_monad,monad-,,"Used to form taxonomic names, usually of protozoa (protists)",latin,morpheme,,,1.0,la,,"New Latin, from stem of Latin monas (“one”)",translingue < NL. < latin,morpheme,wiktionary:fr::monad-#prefix
root_lal,Lal.,"Lal, LAL","abbreviation of Lalande, abbreviated prefix for stars under Lalande designations",translingue,"abbreviation,alt-of,cosmos,morpheme,natural-sciences",,,1.0,mul,,From French Lal. (“Lalande”).,translingue < français,"abbreviation,alt-of,cosmos,morpheme,natural-sciences",wiktionary:fr::Lal.#prefix
root_trocho,trocho-,,wheel,grec,morpheme,o,,1.0,grc,,From Ancient Greek τροχός (trokhós),translingue < grec,morpheme,wiktionary:fr::trocho-#prefix
root_caeno,caeno-,ceno-,"Used to form taxonomic names from pre-existing names, indicating more recent discovery or identification or more recent evolutionary descent",grec,morpheme,o,Caenocara; Caenolestes,1.0,grc,,"From Ancient Greek καινός (kainós, “new”).",translingue < grec,morpheme,wiktionary:fr::caeno-#prefix
root_lestes,-lestes,,"Used to form taxonomic names, usually of genera",grec,"masculine,morpheme",,Caenolestes; Rhyncholestes,1.0,grc,,"Borrowed from Ancient Greek λῃστής (lēistḗs, “thief”).",translingue < grec,"masculine,morpheme",wiktionary:fr::-lestes#suffix
root_phaga,-phaga,,"Used to form taxonomic names, often of genera, by combination with words indicating a type of food for an organism; eater.",grec,"feminine,morpheme",,Musciphaga,1.0,grc,,"Ancient Greek φάγος (phágos, “eater, glutton”)",translingue < grec,"feminine,morpheme",wiktionary:fr::-phaga#suffix
root_notho,notho-,,Used to form names of taxa,grec,morpheme,o,,1.0,grc,,"From Ancient Greek νόθος (nóthos, “bastard”).",translingue < grec,morpheme,wiktionary:fr::notho-#prefix
root_teuthis,-teuthis,,Used to form taxonomic names of genera of squid,grec,"feminine,masculine,morpheme",,,1.0,grc,,"From Ancient Greek τευθίς (teuthís, “small squid”).",translingue < grec,"feminine,masculine,morpheme",wiktionary:fr::-teuthis#suffix
root_henico,henico-,,"Used to form taxonomic names, principally of genera; single.",grec,morpheme,o,,1.0,grc,,"New Latin, from Ancient Greek ἑνικός (henikós, “single”)",translingue < NL. < grec,morpheme,wiktionary:fr::henico-#prefix
root_phorus,-phorus,"-phora, -phorum",Used to form nouns naming organisms that seem to bear something suggesting what is named by a preceding word element such as a prefix,grec,"masculine,morpheme",,,1.0,grc,,"From Ancient Greek -φόρος (-phóros), from φέρω (phérō, “to bear”).",translingue < grec,"masculine,morpheme",wiktionary:fr::-phorus#suffix
root_10,10-,,Identifying a steel grade with a maximum of 1% carbon.,translingue,"engineering,metallurgy,morpheme,natural-sciences,physical-sciences",,,1.0,mul,,From AISI and SAE standards nomenclature for iron and steel grades for carbon steels with a maximum of 1% carbon content.,,"engineering,metallurgy,morpheme,natural-sciences,physical-sciences",wiktionary:fr::10-#prefix
root_51,51-,,"Identifying a chromium steel grade with roughly 1% chromium, and a varying amount of carbon.",translingue,"engineering,metallurgy,morpheme,natural-sciences,physical-sciences",,,1.0,mul,,From AISI and SAE standards nomenclature for iron and steel grades for chromium steels with roughly 1% chromium.,,"engineering,metallurgy,morpheme,natural-sciences,physical-sciences",wiktionary:fr::51-#prefix
root_lagus,-lagus,,Used to form taxonomic names of genera of rabbits,grec,morpheme,,genera in Leporidae; Brachylagus; Caprolagus; Bunolagus; Nesolagus; Oryctolagus; Pentalagus; Poelagus,1.0,grc,,"New Latin, from Ancient Greek λαγώς (lagṓs, “hare”)",translingue < NL. < grec,morpheme,wiktionary:fr::-lagus#suffix
root_oolithus,-oolithus,,Used to form the name of an oogenus.,grec,"masculine,morpheme",,,1.0,grc,,"From Ancient Greek ᾠόν (ōión, “egg”) + λίθος (líthos, “stone”).",translingue < grec,"masculine,morpheme",wiktionary:fr::-oolithus#suffix
root_ides,-ides,,resembling,grec,morpheme,,,1.0,grc,,"A borrowing of Ancient Greek -ίδης (-ídēs, “-son, son of”).",translingue < grec,morpheme,wiktionary:fr::-ides#suffix
root_saura,-saura,"-saurus, -saurum",Used to form feminine genus names of dinosaurs or lizards.,grec,"feminine,morpheme",,,1.0,grc,,"From Ancient Greek σαύρα (saúra, “lizard”), conceived of as the feminine equivalent for -saurus.",translingue < grec,"feminine,morpheme",wiktionary:fr::-saura#suffix
root_ops,-ops,,Resembling.,grec,"feminine,masculine,morpheme,natural-sciences,science,taxonomy",,Acanthidops; Arremonops; Chrysops; Loxops; Strigops; Tursiops,1.0,grc,,"Borrowed from Ancient Greek ὄψ (óps, “eye, face”), influenced by ὄψῐς (ópsĭs, “appearance”).",translingue < grec,"feminine,masculine,morpheme,natural-sciences,science,taxonomy",wiktionary:fr::-ops#suffix
root_soma,-soma,-somata,body,grec,"morpheme,natural-sciences,neuter,science,taxonomy",,,1.0,grc,,"Borrowed from Ancient Greek σῶμα (sôma, “body”).",translingue < grec,"morpheme,natural-sciences,neuter,science,taxonomy",wiktionary:fr::-soma#suffix
root_caris,-caris,,"Used to form taxonomic names of shrimp-like copepods, principally carideans",grec,morpheme,,,1.0,grc,,"From Latin caris (“shrimp, marine crab”), from Ancient Greek καρίς (karís)",translingue < latin < grec,morpheme,wiktionary:fr::-caris#suffix
root_phyllum,-phyllum,,"Used to form taxonomic names of plants, especially relating to the nature of their leaves",grec,"morpheme,neuter",,,1.0,grc,,"Ancient Greek φύλλον (phúllon, “leaf, plant”)",translingue < grec,"morpheme,neuter",wiktionary:fr::-phyllum#suffix
root_odes,-odes,,"resembling, -oid, -like",grec,"feminine,masculine,morpheme,natural-sciences,neuter,science,taxonomy",,,1.0,grc,,"Borrowed from Latin -odēs (“-like, -oid”), Ancient Greek -ώδης (-ṓdēs, “-like”)",translingue < latin < grec,"feminine,masculine,morpheme,natural-sciences,neuter,science,taxonomy",wiktionary:fr::-odes#suffix
root_cephalus,-cephalus,"-cephala, -cephalum",head,grec,"masculine,morpheme",,,1.0,grc,,"From Ancient Greek κεφᾰλή f (kephălḗ, “head”), with the Latin suffix -us m.",translingue < grec,"masculine,morpheme",wiktionary:fr::-cephalus#suffix
root_odon,-odon,,"Used to form names of genera, according to the appearance of their teeth.",grec,"morpheme,natural-sciences,science,taxonomy",,,1.0,grc,,"From Ancient Greek ὀδών (odṓn), variant of ὀδούς (odoús), or reanalysis of English -odont.",translingue < grec,"morpheme,natural-sciences,science,taxonomy",wiktionary:fr::-odon#suffix
root_pro,-pro,,proto-; proto-language; used to create the language codes of proto-languages from the language codes of language families.,grec,"human-sciences,langage,morpheme,sciences",,,1.0,grc,,"PIE word *pró Abbreviation of New Latin proto-, from Ancient Greek πρῶτος (prôtos, “first, firstmost”), from Ancient Greek πρό (pró, “before”), from Proto-Hellenic *pró, from Proto-Indo-European *pró, Proto-Indo-European *per-.",translingue < NL. < grec < grec < grk-pro < ine-pro < ine-pro,"human-sciences,langage,morpheme,sciences",wiktionary:fr::-pro#suffix
root_therium,-therium,,Used to form names of mammalian genera.,grec,"morpheme,natural-sciences,science,taxonomy",,-theria; -theriidae,1.0,grc,,From Ancient Greek θηρίον (thēríon). Compare the subclass Theria.,translingue < grec,"morpheme,natural-sciences,science,taxonomy",wiktionary:fr::-therium#suffix
root_virae,-virae,,Used to form the taxonomic names of kingdoms of viruses,translingue,morpheme,,,1.0,mul,,"From Virus. The Latin source of this word would not have had a byform in -ae, perhaps it was created in analogy to the eukaryotic kingdom Plantae.",,morpheme,wiktionary:fr::-virae#suffix
root_stoma,-stoma,,forms names describing the mouth.,grec,"morpheme,natural-sciences,science,taxonomy",,,1.0,grc,,"From Ancient Greek στόμα (stóma, “mouth”). Related to English -stome, -stomy.",translingue < grec,"morpheme,natural-sciences,science,taxonomy",wiktionary:fr::-stoma#suffix
root_trachy,trachy-,,"Bumpy, spiky, rugged, rough, jagged, bumpy, etc.",grec,morpheme,,,1.0,grc,,"Borrowed from Ancient Greek τρᾱχῠ́ς (trākhŭ́s, “spiky, jagged, prickly, bumpy, etc.”).",translingue < grec,morpheme,wiktionary:fr::trachy-#prefix
root_dactylus,-dactylus,,fingered,grec,morpheme,,,1.0,grc,,"Borrowed from Ancient Greek δᾰ́κτῠλος (dắktŭlos, “finger”).",translingue < grec,morpheme,wiktionary:fr::-dactylus#prefix
root_pteris,-pteris,,"Used to form taxonomic names, usually of genera, for taxa of organisms, usually with feather- or wing-like features",grec,morpheme,,Anarytropteris; Cardiopteris; Caryopteris; Chaetopteris; Chloropteris; Dictyopteris; Gansuapteris; Glenopteris,1.0,grc,,"Borrowed from Ancient Greek πτέρῐς (ptérĭs, “fern”) (see also Pteris), further from Ancient Greek πτερόν (pterón, “feather; wing”).",translingue < grec < grec,morpheme,wiktionary:fr::-pteris#suffix
root_zoa,-zoa,,Forms names of eukaryotic taxa at the level of superclass and above.,grec,"morpheme,natural-sciences,science,taxonomy",,,1.0,grc,,"From Ancient Greek ζῷα (zōîa, “animals”).",translingue < grec,"morpheme,natural-sciences,science,taxonomy",wiktionary:fr::-zoa#suffix
root_anthus,-anthus,,Used to form the names of genera of plants,translingue,morpheme,,,1.0,mul,,"From Ancient Greek ἄνθος (ánthos, “flower”)",,morpheme,wiktionary:fr::-anthus#suffix
root_idris,idris,,ant,translingue,morpheme,,,1.0,mul,,"New Latin, from Ancient Greek ἴδρις (ídris, “experienced”), alluding to a verse by Hesiod (Works and Days, 778): ὅτε τ'ἴδρις σωρὸν αμᾶται, ""while the experienced one gathers a heap"", where many philologists, but not all, interpret ἴδρις as a metaphor for ""ant.""",,morpheme,wiktionary:fr::idris#suffix
root_septendec,septendec-,,Denotes the number seventeen in compound and scientific terms.,translingue,morpheme,,,1.0,mul,,"From Latin septendecim (“seventeen”), composed of septem (“seven”) + decem (“ten”). Used as a combining form in neoclassical compounds denoting quantities of seventeen.",,morpheme,wiktionary:fr::septendec-#prefix
